Sap Co.,대리점,영업사원,전월,금월,TEAM,총 판매수량
KI1316,경기수원대리점,이기정,1720000,2952000,1,123
KI1451,충청홍성대리점,정미진,4080000,2706000,2,220
KI1534,경기화성대리점,경인선,600000,2214000,1,320
KI1636,강원속초대리점,이동권,3720000,2870000,3,110
KI1735,경기안양대리점,강준석,4800000,2296000,1,134
KI1875,제주제주시대리점,민경수,3420000,2346000,4,210
KI1917,경기광주대리점,김진혜,1292000,1518000,1,110
KI2032,경기평택대리점,고유정,2736000,2139000,2,90
KI2153,경기의정부대리점,김은향,1368000,2484000,1,183
KI2214,경기성남대리점,이준수,1976000,1518000,3,73
KI2313,제주서귀포시대리점,온지수,152000,945000,1,52
KI2433,경기계양대리점,이희영,1833000,1404000,1,110
KI2512,경기평촌대리점,강백호,4320000,2312000,3,240
KI2671,제주서귀포시대리점,주은명,4040000,4760000,4,50
KI2776,경기남양주대리점,김수진,8160000,4352000,2,354
KI2870,경기구리시대리점,박진형,6000000,3400000,2,143
KI2910,강원춘천대리점,김은향,4800000,4896000,1,176
KI3030,강원영동대리점,전수창,4560000,3128000,2,98
KI3131,경기하남대리점,김민정,2750000,7268000,3,293
KI3252,강원포천대리점,서가은,2420000,4740000,4,240
